"response2"	"Answer.condition"	"root"	"item"	"context"	"workerid"	"response1"	"slide_number"	"category"	"Answer.time_in_minutes"	"condition"	"participant"
NA	12	"cheem"	"nonce"	"There was no doubt in my mind that a great XXX like this one was John's. I had seen a set of YYY in his yard last summer and this had to be one of them."	0	"cheems"	39	"noun"	21.65155	"12"	"12cond-trials"
NA	12	"glark"	"nonce"	"The XXX was on the counter this morning. Dad doesn't know where it went. We can buy a few more YYY at the store later though."	0	"glarks"	40	"noun"	21.65155	"12"	"12cond-trials"
NA	12	"pet"	"real"	"I would like to have a XXX. They are great companions. I am envious of people who are fortunate enough to have more than one. If I could have many YYY, I would."	0	"pets"	41	"noun"	21.65155	"filler"	"12cond-trials"
"tulvered"	12	"tulver"	"nonce"	"I don't want to XXX. I try not to XXX. I know that YYY isn't good for you. I know that because I YYY a lot when I was a teenager."	0	"tulvering"	42	"verb"	21.65155	"12"	"12cond-trials"
"binked"	12	"bink"	"nonce"	"Every day I like to XXX. I usually XXX first thing in the morning. After I'm finished YYY, I'm ready to start the day. This morning I YYY as usual."	0	"binking"	43	"verb"	21.65155	"12"	"12cond-trials"
"roaker"	12	"roak"	"nonce"	"My mom's food always tastes XXX. She learnt to cook XXX food from her mom. I think she makes the YYY food in the world. Or at least, YYY food than my dad does."	0	"roakest"	44	"adjective"	21.65155	"12"	"12cond-trials"
"jogged"	12	"jog"	"real"	"Everyone wants to XXX. Magazines are telling me to XXX. It seems like YYY is cool. But I YYY last week, and I don't see what all the fuss is about."	0	"jogging"	45	"verb"	21.65155	"filler"	"12cond-trials"
"teeped"	12	"teep"	"nonce"	"It's difficult to XXX. I've always found it hard to XXX. Some people say YYY is easy. But I YYY last week and I can tell you it's not easy."	0	"teeping"	46	"verb"	21.65155	"12"	"12cond-trials"
"stired"	12	"stire"	"nonce"	"Jane refuses to XXX. She's too frightened to XXX. I don't know why she's so scared of YYY. Everyone else YYY last year."	0	"stiring"	47	"verb"	21.65155	"12"	"12cond-trials"
NA	12	"coodle"	"nonce"	"Sam had left the building without her XXX. She told herself that there would be plenty of people with YYY that worked when she got there."	0	"coodles"	48	"noun"	21.65155	"12"	"12cond-trials"
"slinter"	12	"slint"	"nonce"	"Here is a XXX thing. Here are two other things that are XXX. This one is the YYY of them all. It is YYY than the rest."	0	"slintest"	49	"adjective"	21.65155	"12"	"12cond-trials"
NA	13	"bear"	"real"	"This is a XXX. They are really enjoyable. This one is one of my sister's YYY."	0	"bears"	4	"noun"	8.0763	"training"	"13cond-trials"
NA	13	"knit"	"real"	"I would love to learn how to XXX. My friend has been YYY recently and loves it."	0	"knitting"	5	"verb"	8.0763	"training"	"13cond-trials"
NA	13	"cook"	"real"	"John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try."	0	"cooked"	6	"verb"	8.0763	"training"	"13cond-trials"
NA	13	"sweet"	"real"	"Such a XXX child! She really is the YYY child I've ever seen."	0	"sweetest"	7	"adjective"	8.0763	"training"	"13cond-trials"
NA	13	"hard"	"real"	"This was a XXX problem. It was definitely YYY than other problems they had encountered."	0	"harder"	8	"adjective"	8.0763	"training"	"13cond-trials"
"wolped"	13	"wolp"	"nonce"	"I don't want to XXX. I try not to XXX. I know that YYY isn't good for you. I know that because I YYY a lot when I was a teenager."	0	"wolping"	10	"verb"	8.0763	"13"	"13cond-trials"
"stadded"	13	"stad"	"nonce"	"Nick tries to XXX every day. He gets off work early so he can XXX. He says that YYY holds his life together. But I YYY once, and it was nothing special."	0	"stadding"	11	"verb"	8.0763	"13"	"13cond-trials"
"skied"	13	"ski"	"real"	"When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times."	0	"skiing"	12	"verb"	8.0763	"filler"	"13cond-trials"
"bized"	13	"bize"	"nonce"	"Every day I like to XXX. I usually XXX first thing in the morning. After I'm finished YYY, I'm ready to start the day. This morning I YYY as usual."	0	"bizing"	13	"verb"	8.0763	"13"	"13cond-trials"
"tighter"	13	"tight"	"real"	"Why are XXX pants popular? Most find XXX pants uncomfortable. For some reason though, people still try to wear the YYY ones they can find, always looking for a YYY pair than the last."	0	"tightest"	14	"adjective"	8.0763	"filler"	"13cond-trials"
"slintier"	13	"slint"	"nonce"	"They described it as a XXX place. I'm so excited to stay at a XXX resort. I hear that the spot we are going to is the YYY one on the whole coast, much YYY than the place they went to."	0	"slintiest"	15	"adjective"	8.0763	"13"	"13cond-trials"
NA	13	"fiffin"	"nonce"	"The officer wondered if this XXX had been left behind on purpose. YYY were not known to wander off on their own."	0	"Fiffins"	16	"noun"	8.0763	"13"	"13cond-trials"
NA	13	"heach"	"nonce"	"Have you ever heard of a XXX? It grows in South America. There are YYY on the menu tonight for dinner."	0	"heaches"	17	"noun"	8.0763	"13"	"13cond-trials"
NA	13	"goke"	"nonce"	"Did you give him a XXX for his birthday like he asked? I think they are his favorite. He will be asking you for some YYY, I know it."	0	"gokes"	18	"noun"	8.0763	"13"	"13cond-trials"
NA	13	"dand"	"nonce"	"Sam had left the building without her XXX. She told herself that there would be plenty of people with YYY that worked when she got there."	0	"dands"	19	"noun"	8.0763	"13"	"13cond-trials"
"roaker"	13	"roak"	"nonce"	"I had a XXX day yesterday. It all started with a XXX phone call I got. This might be the YYY day I've ever had. Maybe even YYY than the day we went to the aquarium."	0	"roakest"	20	"adjective"	8.0763	"13"	"13cond-trials"
"zorched"	13	"zorch"	"nonce"	"You should XXX. It's always worthwhile to XXX. I'm YYY, and you should too. Last week you YYY, why won't you now?"	0	"zorching"	21	"verb"	8.0763	"13"	"13cond-trials"
NA	13	"coodle"	"nonce"	"There was no doubt in my mind that a great XXX like this one was John's. I had seen a set of YYY in his yard last summer and this had to be one of them."	0	"coodles"	22	"noun"	8.0763	"13"	"13cond-trials"
NA	13	"kern"	"nonce"	"This is a XXX. Now there is another one. There are two of them. There are two YYY."	0	"kerns"	23	"noun"	8.0763	"13"	"13cond-trials"
NA	13	"tattoo"	"real"	"It is hard to believe that having a XXX is fine now. This would have been unacceptable in our day. We were always taught that YYY were bad."	0	"tattoos"	24	"noun"	8.0763	"filler"	"13cond-trials"
"jogged"	13	"jog"	"real"	"Everyone wants to XXX. Magazines are telling me to XXX. It seems like YYY is cool. But I YYY last week, and I don't see what all the fuss is about."	0	"jogging"	25	"verb"	8.0763	"filler"	"13cond-trials"
"farmed"	13	"farm"	"real"	"Nobody wants to XXX these days. I don't know why people don't XXX. This country has a long tradition of YYY. Years ago everyone YYY and life was much better."	0	"farming"	26	"verb"	8.0763	"filler"	"13cond-trials"
NA	13	"fupp"	"nonce"	"The camera followed the XXX for some time. It was on its way to meet other YYY near the beach."	0	"fupps"	27	"noun"	8.0763	"13"	"13cond-trials"
"leamer"	13	"leam"	"nonce"	"This fruit is so XXX. I don't know if you like XXX things. Sam loves them. He always eats the YYY fruit in the bowl. I like it when they're a little YYY than this one, but not too much."	0	"leam"	28	"adjective"	8.0763	"13"	"13cond-trials"
"kiter"	13	"kita"	"nonce"	"It all looked too XXX. There here too many XXX tables. The YYY was one in the corner. It was far YYY than the others."	0	"kitest"	29	"adjective"	8.0763	"13"	"13cond-trials"
"taller"	13	"tall"	"real"	"I met a XXX person today. I don't think I've ever met anyone so XXX. They were definitely the YYY person I've met. They were even YYY than you."	0	"tallest"	30	"adjective"	8.0763	"filler"	"13cond-trials"
"tulvered"	13	"tulver"	"nonce"	"Fred couldn't XXX. All he wanted was to XXX. Finally, he succeeded in YYY. After he YYY his mind was at ease."	0	"tulvering"	31	"verb"	8.0763	"13"	"13cond-trials"
"nilter"	13	"nilt"	"nonce"	"I like to watch movies that make me feel XXX. I'm a XXX person afterwards. After I watched this one I felt the YYY I've ever felt. I felt YYY than any other movie had made me feel."	0	"niltest"	32	"adjective"	8.0763	"13"	"13cond-trials"
NA	13	"glip"	"nonce"	"The XXX was on the counter this morning. Dad doesn't know where it went. We can buy a few more YYY at the store later though."	0	"glips"	33	"noun"	8.0763	"13"	"13cond-trials"
"softer"	13	"soft"	"real"	"XXX things are nice. Some people disagree, but quite a few think XXX things are great. Well, at least everyone can agree that the YYY one of all is really nice. Nothing is YYY than that one."	0	"softest"	34	"adjective"	8.0763	"filler"	"13cond-trials"
"cheemed"	13	"cheem"	"nonce"	"I dream that one day I'll be able to XXX. The chance to XXX would be very exciting. I think I'd really enjoy YYY. My friend Sam YYY once and he loved it."	0	"cheeming"	35	"verb"	8.0763	"13"	"13cond-trials"
NA	13	"pet"	"real"	"I would like to have a XXX. They are great companions. I am envious of people who are fortunate enough to have more than one. If I could have many YYY, I would."	0	"pets"	36	"noun"	8.0763	"filler"	"13cond-trials"
"panker"	13	"pank"	"nonce"	"The painting looked XXX. She had worked hard to create such a XXX piece. This was her YYY painting yet. It was YYY than all the previous ones combined."	0	"pankest"	37	"adjective"	8.0763	"13"	"13cond-trials"
NA	13	"jate"	"nonce"	"My favorite animal is the XXX. They are impressive creatures. I saw a group of YYY during our trip last summer and I was so excited."	0	"jates"	38	"noun"	8.0763	"13"	"13cond-trials"
"pizer"	13	"pizer"	"nonce"	"Did he think this shirt was too XXX? Maybe it was not XXX enough. They decided that being the person with the YYY shirt at the party was probably not a bad thing. After glancing at them again, the second one seemed YYY than the first, so she chose to wear it."	0	"pizest"	39	"adjective"	8.0763	"13"	"13cond-trials"
NA	13	"cake"	"real"	"Did they ask about the XXX? I think we need to let them know by tomorrow. I hear YYY are in scarce quantity at the store."	0	"cakes"	40	"noun"	8.0763	"filler"	"13cond-trials"
"stired"	13	"stire"	"nonce"	"Next week we're going to XXX. We've been waiting ages for the chance to XXX. We're reading a book about YYY. My friend YYY once before, but this will be my first time."	0	"stiring"	41	"verb"	8.0763	"13"	"13cond-trials"
"rengier"	13	"reng"	"nonce"	"My mom's food always tastes XXX. She learnt to cook XXX food from her mom. I think she makes the YYY food in the world. Or at least, YYY food than my dad does."	0	"rengest"	42	"adjective"	8.0763	"13"	"13cond-trials"
"binked"	13	"bink"	"nonce"	"Why won't John XXX? I want him to XXX. He's only tolerable when he's YYY. Like yesterday he YYY, and he was fine."	0	"binking"	43	"verb"	8.0763	"13"	"13cond-trials"
NA	13	"glark"	"nonce"	"There was a group of kids playing with a XXX down the street. Did you see it? I think it might be one of Terry's YYY."	0	"glarks"	44	"noun"	8.0763	"13"	"13cond-trials"
"teshed"	13	"tesh"	"nonce"	"It's difficult to XXX. I've always found it hard to XXX. Some people say YYY is easy. But I YYY last week and I can tell you it's not easy."	0	"teshing"	45	"verb"	8.0763	"13"	"13cond-trials"
"sneller"	13	"snell"	"nonce"	"Here is a XXX thing. Here are two other things that are XXX. This one is the YYY of them all. It is YYY than the rest."	0	"snellest"	46	"adjective"	8.0763	"13"	"13cond-trials"
"painted"	13	"paint"	"real"	"Jim loves to XXX all the time. It seems he was born to XXX. YYY is what he's good at. Last week he YYY six days out of seven."	0	"Painting"	47	"verb"	8.0763	"filler"	"13cond-trials"
"menser"	13	"mense"	"nonce"	"The woman became XXX after seeing it. Her friends laughed at how XXX she was. There was no reason for her to be the YYY person in the room. Yet, she seemed YYY than everyone present."	0	"mensest"	48	"adjective"	8.0763	"13"	"13cond-trials"
"teeped"	13	"teep"	"nonce"	"Jane refuses to XXX. She's too frightened to XXX. I don't know why she's so scared of YYY. Everyone else YYY last year."	0	"teeping"	49	"verb"	8.0763	"13"	"13cond-trials"
NA	15	"bear"	"real"	"This is a XXX. They are really enjoyable. This one is one of my sister's YYY."	0	"favorite toy"	4	"noun"	14.1087166666667	"training"	"15cond-trials"
NA	15	"knit"	"real"	"I would love to learn how to XXX. My friend has been YYY recently and loves it."	0	"knitting"	5	"verb"	14.1087166666667	"training"	"15cond-trials"
