response1_type	response1	response2_type	response2	root	context	Answer.condition	item	workerid	slide_number	category	Answer.time_in_minutes	condition	participant
1	Tightest  	2	Smaller 	tight	Why are XXX pants popular? Most find XXX pants uncomfortable. For some reason though, people still try to wear the YYY ones they can find, always looking for a YYY pair than the last.	8	real	0	16	adjective	14.7715833333	filler	8cond-trials
1	Tallest 	2	Taller 	tall	I met a XXX person today. I don't think I've ever met anyone so XXX. They were definitely the YYY person I've met. They were even YYY than you.	8	real	0	18	adjective	14.7715833333	filler	8cond-trials
1	harder	NA	NA	hard	This was a XXX problem. It was definitely YYY than other problems they had encountered.	9	real	0	8	adjective	27.2436166667	training	9cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	10	real	0	6	verb	25.7908666667	training	10cond-trials
4	ski	1	skied 	ski	When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times.	10	real	0	29	verb	25.7908666667	filler	10cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	12	real	0	6	verb	21.65155	training	12cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	13	real	0	6	verb	8.0763	training	13cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	15	real	0	6	verb	14.1087166667	training	15cond-trials
3	quiet	3	was quiet	cheem	Why won't John XXX? I want him to XXX. He's only tolerable when he's YYY. Like yesterday he YYY, and he was fine.	15	nonce	0	11	verb	14.1087166667	15	15cond-trials
4	tesh	2	read	tesh	Next week we're going to XXX. We've been waiting ages for the chance to XXX. We're reading a book about YYY. My friend YYY once before, but this will be my first time.	15	nonce	0	14	verb	14.1087166667	15	15cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	16	real	0	6	verb	15.8644666667	training	16cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	17	real	0	6	verb	12.6699666667	training	17cond-trials
1	skiing 	1	skied 	ski	When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times.	17	real	0	42	verb	12.6699666667	filler	17cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	18	real	0	6	verb	23.77995	training	18cond-trials
2	tried	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	19	real	0	6	verb	6.1756166667	training	19cond-trials
4	fiffin	4	fiffin	fiffin	You should XXX. It's always worthwhile to XXX. I'm YYY, and you should too. Last week you YYY, why won't you now?	19	nonce	0	11	verb	6.1756166667	19	19cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	1	real	0	6	verb	16.5602833333	training	1cond-trials
2	tried	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	20	real	0	6	verb	13.0430666667	training	20cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	21	real	0	6	verb	8.8744333333	training	21cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	22	real	0	6	verb	23.8758833333	training	22cond-trials
3	it	2	went	jog	Everyone wants to XXX. Magazines are telling me to XXX. It seems like YYY is cool. But I YYY last week, and I don't see what all the fuss is about.	22	real	0	15	verb	23.8758833333	filler	22cond-trials
4	glad	3	did	glark	You should XXX. It's always worthwhile to XXX. I'm YYY, and you should too. Last week you YYY, why won't you now?	22	nonce	0	16	verb	23.8758833333	22	22cond-trials
1	skiing 	2	fell	ski	When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times.	22	real	0	21	verb	23.8758833333	filler	22cond-trials
3	coke	2	vomited 	goke	I don't want to XXX. I try not to XXX. I know that YYY isn't good for you. I know that because I YYY a lot when I was a teenager.	22	nonce	0	22	verb	23.8758833333	22	22cond-trials
3	lions	4	said	coodle	Next week we're going to XXX. We've been waiting ages for the chance to XXX. We're reading a book about YYY. My friend YYY once before, but this will be my first time.	22	nonce	0	32	verb	23.8758833333	22	22cond-trials
3	festivals	2	sang	farm	Nobody wants to XXX these days. I don't know why people don't XXX. This country has a long tradition of YYY. Years ago everyone YYY and life was much better.	22	real	0	35	verb	23.8758833333	filler	22cond-trials
3	he	4	saw	cheem	Nick tries to XXX every day. He gets off work early so he can XXX. He says that YYY holds his life together. But I YYY once, and it was nothing special.	22	nonce	0	43	verb	23.8758833333	22	22cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	23	real	0	6	verb	8.8027833333	training	23cond-trials
3	taught	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	24	real	0	5	verb	19.8663666667	training	24cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	24	real	0	6	verb	19.8663666667	training	24cond-trials
4	fupp	4	fupp	fupp	Jane refuses to XXX. She's too frightened to XXX. I don't know why she's so scared of YYY. Everyone else YYY last year.	24	nonce	0	13	verb	19.8663666667	24	24cond-trials
4	kern	3	woke up	kern	Every day I like to XXX. I usually XXX first thing in the morning. After I'm finished YYY, I'm ready to start the day. This morning I YYY as usual.	24	nonce	0	15	verb	19.8663666667	24	24cond-trials
4	goke	4	know	goke	It's difficult to XXX. I've always found it hard to XXX. Some people say YYY is easy. But I YYY last week and I can tell you it's not easy.	24	nonce	0	20	verb	19.8663666667	24	24cond-trials
4	jate	4	jate	jate	Why won't John XXX? I want him to XXX. He's only tolerable when he's YYY. Like yesterday he YYY, and he was fine.	24	nonce	0	23	verb	19.8663666667	24	24cond-trials
4	heach	4	not	heach	You should XXX. It's always worthwhile to XXX. I'm YYY, and you should too. Last week you YYY, why won't you now?	24	nonce	0	25	verb	19.8663666667	24	24cond-trials
4	glark	4	glark	glark	Fred couldn't XXX. All he wanted was to XXX. Finally, he succeeded in YYY. After he YYY his mind was at ease.	24	nonce	0	31	verb	19.8663666667	24	24cond-trials
4	farm	4	farm	farm	Nobody wants to XXX these days. I don't know why people don't XXX. This country has a long tradition of YYY. Years ago everyone YYY and life was much better.	24	real	0	36	verb	19.8663666667	filler	24cond-trials
4	ski	3	did	ski	When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times.	24	real	0	44	verb	19.8663666667	filler	24cond-trials
4	dand	4	dand	dand	Nick tries to XXX every day. He gets off work early so he can XXX. He says that YYY holds his life together. But I YYY once, and it was nothing special.	24	nonce	0	47	verb	19.8663666667	24	24cond-trials
4	kita	3	did	kita	I dream that one day I'll be able to XXX. The chance to XXX would be very exciting. I think I'd really enjoy YYY. My friend Sam YYY once and he loved it.	24	nonce	0	49	verb	19.8663666667	24	24cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	25	real	0	6	verb	11.7671666667	training	25cond-trials
1	knitting 	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	26	real	0	5	verb	18.9123833333	training	26cond-trials
3	went out of town	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	26	real	0	6	verb	18.9123833333	training	26cond-trials
1	mensing 	1	mensed 	mense	I dream that one day I'll be able to XXX. The chance to XXX would be very exciting. I think I'd really enjoy YYY. My friend Sam YYY once and he loved it.	26	nonce	0	49	verb	18.9123833333	26	26cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	27	real	0	6	verb	17.4265833333	training	27cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	29	real	0	6	verb	13.8390333333	training	29cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	2	real	0	6	verb	14.0199	training	2cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	30	real	0	6	verb	7.5286666667	training	30cond-trials
2	learned	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	3	real	0	6	verb	7.4312	training	3cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	4	real	0	6	verb	12.4435333333	training	4cond-trials
3	made a wonderful dinner	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	5	real	0	6	verb	24.5318833333	training	5cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	6	real	0	6	verb	11.3199166667	training	6cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	7	real	0	6	verb	11.6007	training	7cond-trials
1	Knitting 	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	8	real	0	5	verb	14.7715833333	training	8cond-trials
3	Said	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	8	real	0	6	verb	14.7715833333	training	8cond-trials
4	Pizer	3	Tried it	pizer	Nick tries to XXX every day. He gets off work early so he can XXX. He says that YYY holds his life together. But I YYY once, and it was nothing special.	8	nonce	0	10	verb	14.7715833333	8	8cond-trials
4	Roak	3	Went	roak	Next week we're going to XXX. We've been waiting ages for the chance to XXX. We're reading a book about YYY. My friend YYY once before, but this will be my first time.	8	nonce	0	12	verb	14.7715833333	8	8cond-trials
1	Painting 	1	Painted 	paint	Jim loves to XXX all the time. It seems he was born to XXX. YYY is what he's good at. Last week he YYY six days out of seven.	8	real	0	46	verb	14.7715833333	filler	8cond-trials
1	cooked	NA	NA	cook	John said he wants to XXX. His partner YYY yesterday, and now John has decided he wants to try.	9	real	0	6	verb	27.2436166667	training	9cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	10	real	0	7	adjective	25.7908666667	training	10cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	12	real	0	7	adjective	21.65155	training	12cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	13	real	0	7	adjective	8.0763	training	13cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	16	real	0	7	adjective	15.8644666667	training	16cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	17	real	0	7	adjective	12.6699666667	training	17cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	18	real	0	7	adjective	23.77995	training	18cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	19	real	0	7	adjective	6.1756166667	training	19cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	1	real	0	7	adjective	16.5602833333	training	1cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	20	real	0	7	adjective	13.0430666667	training	20cond-trials
1	tightest	4	tight	tight	Why are XXX pants popular? Most find XXX pants uncomfortable. For some reason though, people still try to wear the YYY ones they can find, always looking for a YYY pair than the last.	20	real	0	34	adjective	13.0430666667	filler	20cond-trials
1	zorchest	3	more zorch	zorch	Here is a XXX thing. Here are two other things that are XXX. This one is the YYY of them all. It is YYY than the rest.	20	nonce	0	37	adjective	13.0430666667	20	20cond-trials
1	teshest	3	more tesh	tesh	I had a XXX day yesterday. It all started with a XXX phone call I got. This might be the YYY day I've ever had. Maybe even YYY than the day we went to the aquarium.	20	nonce	0	40	adjective	13.0430666667	20	20cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	21	real	0	7	adjective	8.8744333333	training	21cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	23	real	0	7	adjective	8.8027833333	training	23cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	24	real	0	7	adjective	19.8663666667	training	24cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	25	real	0	7	adjective	11.7671666667	training	25cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	27	real	0	7	adjective	17.4265833333	training	27cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	29	real	0	7	adjective	13.8390333333	training	29cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	2	real	0	7	adjective	14.0199	training	2cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	30	real	0	7	adjective	7.5286666667	training	30cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	4	real	0	7	adjective	12.4435333333	training	4cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	6	real	0	7	adjective	11.3199166667	training	6cond-trials
1	heachest	1	heachier 	heach	I like to watch movies that make me feel XXX. I'm a XXX person afterwards. After I watched this one I felt the YYY I've ever felt. I felt YYY than any other movie had made me feel.	7	nonce	0	12	adjective	11.6007	7	7cond-trials
1	tightest	1	tigther 	tight	Why are XXX pants popular? Most find XXX pants uncomfortable. For some reason though, people still try to wear the YYY ones they can find, always looking for a YYY pair than the last.	7	real	0	31	adjective	11.6007	filler	7cond-trials
1	sweetest	NA	NA	sweet	Such a XXX child! She really is the YYY child I've ever seen.	9	real	0	7	adjective	27.2436166667	training	9cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	10	real	0	5	verb	25.7908666667	training	10cond-trials
1	jogging	1	jogged \	jog	Everyone wants to XXX. Magazines are telling me to XXX. It seems like YYY is cool. But I YYY last week, and I don't see what all the fuss is about.	10	real	0	35	verb	25.7908666667	filler	10cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	13	real	0	5	verb	8.0763	training	13cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	15	real	0	5	verb	14.1087166667	training	15cond-trials
1	teeping	4	teep	teep	Nick tries to XXX every day. He gets off work early so he can XXX. He says that YYY holds his life together. But I YYY once, and it was nothing special.	15	nonce	0	21	verb	14.1087166667	15	15cond-trials
1	skiing	4	ski	ski	When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times.	15	real	0	26	verb	14.1087166667	filler	15cond-trials
1	danding	4	dand	dand	I dream that one day I'll be able to XXX. The chance to XXX would be very exciting. I think I'd really enjoy YYY. My friend Sam YYY once and he loved it.	15	nonce	0	48	verb	14.1087166667	15	15cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	16	real	0	5	verb	15.8644666667	training	16cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	17	real	0	5	verb	12.6699666667	training	17cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	19	real	0	5	verb	6.1756166667	training	19cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	1	real	0	5	verb	16.5602833333	training	1cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	20	real	0	5	verb	13.0430666667	training	20cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	23	real	0	5	verb	8.8027833333	training	23cond-trials
1	glipping	2	fell	glip	I don't want to XXX. I try not to XXX. I know that YYY isn't good for you. I know that because I YYY a lot when I was a teenager.	24	nonce	0	18	verb	19.8663666667	24	24cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	25	real	0	5	verb	11.7671666667	training	25cond-trials
1	skiing	2	skied 	ski	When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times.	25	real	0	10	verb	11.7671666667	filler	25cond-trials
1	Painting	2	painted 	paint	Jim loves to XXX all the time. It seems he was born to XXX. YYY is what he's good at. Last week he YYY six days out of seven.	26	real	0	37	verb	18.9123833333	filler	26cond-trials
1	glipping	2	glipped 	glip	It's difficult to XXX. I've always found it hard to XXX. Some people say YYY is easy. But I YYY last week and I can tell you it's not easy.	26	nonce	0	47	verb	18.9123833333	26	26cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	27	real	0	5	verb	17.4265833333	training	27cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	29	real	0	5	verb	13.8390333333	training	29cond-trials
1	farming	3	was farming	farm	Nobody wants to XXX these days. I don't know why people don't XXX. This country has a long tradition of YYY. Years ago everyone YYY and life was much better.	29	real	0	18	verb	13.8390333333	filler	29cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	2	real	0	5	verb	14.0199	training	2cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	30	real	0	5	verb	7.5286666667	training	30cond-trials
1	skiing	2	fell	ski	When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times.	30	real	0	11	verb	7.5286666667	filler	30cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	3	real	0	5	verb	7.4312	training	3cond-trials
1	skiing	2	fell	ski	When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times.	3	real	0	11	verb	7.4312	filler	3cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	4	real	0	5	verb	12.4435333333	training	4cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	5	real	0	5	verb	24.5318833333	training	5cond-trials
1	slinting	3	tried to slint	slint	You should XXX. It's always worthwhile to XXX. I'm YYY, and you should too. Last week you YYY, why won't you now?	5	nonce	0	16	verb	24.5318833333	5	5cond-trials
1	nilting	4	nilt	nilt	Next week we're going to XXX. We've been waiting ages for the chance to XXX. We're reading a book about YYY. My friend YYY once before, but this will be my first time.	5	nonce	0	40	verb	24.5318833333	5	5cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	6	real	0	5	verb	11.3199166667	training	6cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	7	real	0	5	verb	11.6007	training	7cond-trials
1	sking	4	ski	ski	When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times.	7	real	0	14	verb	11.6007	filler	7cond-trials
1	painting	1	painted 	paint	Jim loves to XXX all the time. It seems he was born to XXX. YYY is what he's good at. Last week he YYY six days out of seven.	7	real	0	43	verb	11.6007	filler	7cond-trials
1	Snelling	3	Did	snell	Fred couldn't XXX. All he wanted was to XXX. Finally, he succeeded in YYY. After he YYY his mind was at ease.	8	nonce	0	15	verb	14.7715833333	8	8cond-trials
1	Sking	4	Ski	ski	When I was a kid I used to XXX. My father taught me to XXX. I used to enjoy YYY very much. But I probably YYY one too many times.	8	real	0	39	verb	14.7715833333	filler	8cond-trials
1	Renging	4	Rengs	reng	Jane refuses to XXX. She's too frightened to XXX. I don't know why she's so scared of YYY. Everyone else YYY last year.	8	nonce	0	41	verb	14.7715833333	8	8cond-trials
1	knitting	NA	NA	knit	I would love to learn how to XXX. My friend has been YYY recently and loves it.	9	real	0	5	verb	27.2436166667	training	9cond-trials
